yue	eng
點 可能 喺 因為 玩 咧	It can t be because of play
你 可以 見到 國土安全局 經常 光臨	So you can see that the Homeland Security likes to come by
實 實際 際 咁	towards actually helping
仲有 20000 平方 英寸 嘅 紙	and 20 000 square feet of paper
然後 我哋 可以 係 電視機 見到 自己 貼 緊 相	and we would see ourselves on TV pasting
我 虔誠 遵守 呢啲 風俗 約束 已經 13 年 直到 我 跟 自己 嘅 伴侶 Tuhin 討論 過 至 永遠 改變 對 月經 嘅 睇法 2009 年 我 同 佢 攻讀 設計 學 研究 我哋 共 墮 愛河 我 好 輕鬆 同 佢 討論 月經 的 事情 佢 知道 少少	I religiously followed all these restrictive customs for 13 years until a discussion with my partner Tuhin changed my perception about menstruation forever In 2009 Tuhin and I were pursuing our postgraduation in design We fell in love with each other and I was at ease discussing periods with him Tuhin knew little about periods
有關於 為之 奮鬥	and something to fight for
音效 AG 大部分 現代 風力 渦輪機 都 具備 大型	Audio AG Most modern wind turbines consist of a large
笑聲	Laughter
華 為止 催眠 精神科 藥物 可以 令人 嘅 意志力 減 至 最低	lt s a hypnotic drug lt reduces your willpower It is very effective on normal people
不過 在生 活 上 的 追求	but sometimes they re a little bit lost
終於 得到 嘅 結論 就係 咁 樣	So the upshot was this
甚至 唔記得 喺 我 嘅 護照 上蓋 章	that he forgot to stamp my passport
衫 同 鞋	on her microblog
全球 將會 有 三十 億 人 脫離 貧窮	the global middle class by 2030
秘密 可以 令 我哋 諗起	Secrets can remind us of the countless human dramas
並 授予 佢 統治 巴比倫 嘅 權力	and gives him the rule of Babylon
多謝	Thank you
你 一樣 要 學識 係數 碼 生活 中 去 做 同樣 嘅 也	you have to learn to do that for your digital self
係 信息 狂潮 嚟臨 前 我哋 都 好似 我 愛 Lucy 電視 入面 演 嘅 咁 狼狽	We re all I Love Lucy on a great assembly line of information
我 諗 係 因為 佢地 鐘意 藝術	I think they kind of like to look at art
多謝	Thank you
幫 佢哋 喺度 好 緊要 係 做 護 神	and something important to the gang
仲有 石油 和 血	and oil and blood
我 影 左 佢地 嘅 相	I just took their pictures
同 個人 經歷 和 價值觀 相關	to personal experiences and personal values
比如 刺激 喺 杏仁體 嘅	For example it s been shown
嘩 你 覺唔覺得 而家 好 浪漫 啊	Isn t this romantic
樂觀 啲 我哋 積極 啲 點先 可以 改變	Let s be positive now We re going to get positive How did this happen
我 聽日 走 喇 喎	I m leaving tomorrow
又 移植 咗 新嘅 器官 一切 都 被 打亂 重新 安排	and transported and rearranged and reconstructed
笑聲	Laughter
以及 5 億 美元	and over 500 million dollars respectively
我 諗 不如 超越 客戶 要求 一個 理念 三 個 標誌 任 你 揀 我 同 啲 客仔 講 個個 設計 都 好正 基本 理念 係 為 紐約 嘅 學校 設計 嘅 新嘅 學校 圖書館 新生事物 就要 有 個 新 名 我 唔想 啲人 認 為 係 圖書館 都 又 老 又 舊 睇到 都 好 悶 嗰種 你 知 喇 老 一 脫 人 用 嘅 嗰種 圖書館 完全 唔係 咁 呢個 係 一個 令人振奮 嘅 新 事物 唔係 無聊 嘅 圖書館	So I thought let s overdeliver I m going to give you three logos all based on this one idea So you have three options pick any of the three They re all great I said So the basic idea was these would be new school libraries for New York schools and so the idea is that it s a new thing a new idea that needs a new name What I wanted to do was dispel the idea that these were musty old libraries the kind of places that everyone is bored with you know not your grandparents library Don t worry about that at all This is going to this new exciting thing not a boring library
但 我 認 為 為咗 所有人 嘅 福祉	but I do think that for the benefit of everyone
重新 定義 你 對於	It will redefine your sense
係 因為	because of the fact
懷有 改變 嘅 女人	Women of change
等陣先 咁 係咪 真係 有可能 整個 咁 嘅 機械人 先 其實 係 可以 嘅 好多時 設計 人工智能 元素 係 好 難 嘅 咁 唔係 講緊 整機 械 人頭 髮 學 Alan Turning 話齋 我 無 興趣 整 隻 有 感覺 嘅 機器 亦都 唔係 生產 另一個 哈 爾 我 所 追求 嘅係 一個 會 簡單 思考 同 有少少 智慧 嘅 機械人	Let s pause for a moment Is it really possible to build an artificial intelligence like that Actually it is In many ways this is a hard engineering problem with elements of AI not some wet hair ball of an AI problem that needs to be engineered To paraphrase Alan Turing I m not interested in building a sentient machine I m not building a HAL All I m after is a simple brain something that offers the illusion of intelligence
笑聲	Laughter
我 都 唔知道 呢個 做法 有效 與否	And I don t know if it works
因此 喺 氣候 和談 裏邊 限制 二氧化碳 喺 百萬 分之 450 同埋 限制 氣溫 上升 兩 度 都 似乎 係 合乎 道德 嘅 而 我哋 社會 亦 似乎 經過 道德 思考 選擇 放棄 珊瑚礁 但 我 想 喺 完結 前 講 放棄 珊瑚礁 呢件事 我哋 或者 已經 做咗 但 大家 諗下 後果 所以 請 大家 唔好 繼續 咁做 因為 我哋 擁有 嘅 生態 建設 同 自然 資本 就得 咁多 我哋 唔 可 再 負擔 合乎 道德 嘅 錯	So in selecting targets of 450 parts per million and selecting two degrees at the climate negotiations what we have done is we ve made an ethical choice We ve actually kind of made an ethical choice in society to not have coral reefs Well what I will say to you in parting is that we may have done that Let s think about it and what it means but please let s not do more of that Because mother nature only has that much in ecological infrastructure and that much natural capital I don t think we can afford too much of such ethical choices
多謝	Thank you
而 我 就真 係 好想 知道 點樣 能夠 令 年輕人 對 科技 更 純熟 令 佢哋 能夠 用 新 科技 去 創作 即係話 佢哋 能夠 寫 自己 嘅 電腦程式 或者 寫 編碼	And I m really interested in seeing how can we help young people become fluent so they can write with new technologies And that really means that they need to be able to write their own computer programs or code
有時 有些 年輕人 他 會同 我 講	And sometimes I have young people approaching me
我 可以 感受 到 父母 沉重 嘅 心	in their hearts
對 嗰啲 兒童 嘅 癥 狀	of the child s symptoms
所以 佢 獨創 一種 方式 來 記 歌詞	so she managed to fill in the lyrics
對唔住 啦	I m sorry
在 屋企 裏面 導線 佈滿 牆壁	In your house wires run in the wall
然後 瞭解 您 總體 嘅 膽固醇 含量	and again understand what your overall cholesterol level is
因此 解決問題 嘅 關鍵	So the crux of it
我哋 時間 快 到了	Because our time is up
喺 1956 年 莫斯科 嘅 一個 外交 接待 上 蘇聯 領袖 赫魯曉夫 對 西方 集團 嘅 大使 講 М ы в а с п о х о р о н и м 佢 嘅 傳譯員 咁 樣 翻譯 成 英文 我哋 會 將 你哋 埋葬 呢句話 喺 西方 世界 引起 軒然大波 而且 當時 蘇聯 同 美國 處於 冷戰 狀態 呢句 說話 加劇 咗 兩國 嘅 緊張 局勢 有人 相信 單係 呢次 翻譯 錯誤 令 東 西方 關係 倒退 咗 十 年 之後 赫魯曉夫 嘅 傳譯 被 指 太過 照 字面 翻譯 按照 內容 佢 嘅 說話 應該 翻譯 成 溫和 啲 嘅 講法 我哋 會 親眼 睇住 你哋 被 埋葬 意思 係 共產主義 會 比 資本 主 資 更 長久 雖然 最後 原本 嘅 意思 釐清 返 但係 赫魯曉夫 傳譯員 嘅 錯誤 就 足以 引發 核戰 既然 語言 同 文化交流 係咁 複雜 點解 錯 譯 唔 咪 成日 發生 呢 答案 就係 靠 傳譯員 嘅 技巧 同 訓練 去 避免 以往 傳譯 嗰陣 講者 同 傳譯員 會 輪流 停低 畀 對方 講 令到 傳譯 斷斷續續 咁 進行 但係 第二次 世界大戰 之後 無線電 科技 進步 嘞 發明 咗 新嘅 即時傳譯 系統 喺 即時傳譯 入面 傳譯員 會 喺 演講 者 講嘢 同時 透過 一 支 咪 即時 翻譯 觀眾 可以 揀 咩 語言 嚟 聽 聽 起上嚟 成 件 事 好 完美 咁 但係 喺 背後 傳譯員 不停 工作 確保 每一個 意思 都 準確 傳譯 但 呢項 工作 並 唔容易 就算 本身 流利 講 兩 種 語言 嘅人 都 需要 接受 訓練 兩 年 去 豐富 詞 彚 同 精通 需要 嘅 技巧 然後 至 可以 做 會議 傳譯員 而且 為咗 習慣 邊 講 邊 聽 學生會 用 同一 種 語言 重複 講者 講 過 嘅 每一 隻 字 之後 佢哋 會 用 第二啲 句子 去 複述 返 同一 句 嘢 兼且 會 改 埋 原本 講者 嘅 說話 風格 到 一個 位 佢哋 就 會 開始 用 第二 種 語言 講 同一 句 說話 咁 樣 嘅 練習 令 傳譯員 個 腦 發展 出 一條 新嘅 神經 路徑 同時 複述 做得 多 會變 成 一種 本能 所以 經過 一段 時間 嘅 努力 之後 傳譯員 會 掌握 到 大量 嘅 技巧 而 務求 保持 傳譯 速度 處理 艱難 嘅 術語 同埋 應付 不同 嘅 外國 口音 傳譯員 可能 只 取 頭一個 字母 去 代替 長 嘅 名 選擇 通用 而 非 專業 嘅 用語 或者 參考 投影 片 同 其他 視覺 輔助 工具 喺 佢哋 搵 緊 最 準確 嘅 翻譯 之前 佢哋 甚至 可以 用返 原本 個 字 傳譯員 亦都 訓練 到 識得 喺 混亂 中 沉 著 應戰 記住 佢哋 控制 唔到 邊個 講啲 咩 控制 唔到 講者 會 點樣 發音 變幻 隨時 都 會 出現 傳譯員 通常 喺 幾千 人面 前 翻譯 而且 環境 好 嚇 人 譬如話 聯合國大會 咁 傳譯員 為咗 情緒 要 保持 平靜 佢哋 會 喺 工作 之前 做好 準備 例如 準備 詞彙 表 讀 大量 嘅 相關 資料 同埋 回顧 之前 相同 題材 嘅 演講 最後 傳譯員 要 一對 咁 工作 當 一個 同事 忙於 即時傳譯 另一個 就要 做 支援 負責 搵 文件 查 字 搵 相關 資料 因為 即時傳譯 要 高度 集中 所以 每 三十 分鐘 就 會 互換 角色 成功 好 靠 熟練 嘅 合作 語言 係 複雜 嘅 當 抽象 或 微妙 嘅 概念 冇 被 翻譯 後果 可以 係 好 嚴重 嘅 就 好似 Margaret Atwood 嘅 一句 名言 戰爭 就喺 語言 失效 嘅時候 發生 會議 傳譯員 都 意識到 呢個 道理 所以 佢哋 喺 背後 都 好 努力 工作 確保 呢種 事 唔會 發生	In 1956 during a diplomatic reception in Moscow Soviet leader Nikita Khrushchev told Western Bloc ambassadors My vas pokhoronim His interpreter rendered that into English as We will bury you This statement sent shockwaves through the Western world heightening the tension between the Soviet Union and the US who were in the thick of the Cold War Some believe this incident alone set East West relations back a decade As it turns out Khrushchev s remark was translated a bit too literally Given the context his words should have been rendered as We will live to see you buried meaning that Communism would outlast Capitalism a less threatening comment Though the intended meaning was eventually clarified the initial impact of Khrushchev s apparent words put the world on a path that could have led to nuclear armageddon So now given the complexities of language and cultural exchange how does this sort of thing not happen all the time Much of the answer lies with the skill and training of interpreters to overcome language barriers For most of history interpretation was mainly done consecutively with speakers and interpreters making pauses to allow each other to speak But after the advent of radio technology a new simultaneous interpretations system was developed in the wake of World War II In the simultaneous mode interpreters instantaneously translate a speaker s words into a microphone while he speaks Without pauses those in the audience can choose the language in which they want to follow On the surface it all looks seamless but behind the scenes human interpreters work incessantly to ensure every idea gets across as intended And that is no easy task It takes about two years of training for already fluent bilingual professionals to expand their vocabulary and master the skills necessary to become a conference interpreter To get used to the unnatural task of speaking while they listen students shadow speakers and repeat their every word exactly as heard in the same language In time they begin to paraphrase what is said making stylistic adjustments as they go At some point a second language is introduced Practicing in this way creates new neural pathways in the interpreter s brain and the constant effort of reformulation gradually becomes second nature Over time and through much hard work the interpreter masters a vast array of tricks to keep up with speed deal with challenging terminology and handle a multitude of foreign accents They may resort to acronyms to shorten long names choose generic terms over specific or refer to slides and other visual aides They can even leave a term in the original language while they search for the most accurate equivalent Interpreters are also skilled at keeping aplomb in the face of chaos Remember they have no control over who is going to say what or how articulate the speaker will sound A curveball can be thrown at any time Also they often perform to thousands of people and in very intimidating settings like the UN General Assembly To keep their emotions in check they carefully prepare for an assignment building glossaries in advance reading voraciously about the subject matter and reviewing previous talks on the topic Finally interpreters work in pairs While one colleague is busy translating incoming speeches in real time the other gives support by locating documents looking up words and tracking down pertinent information Because simultaneous interpretation requires intense concentration every 30 minutes the pair switches roles Success is heavily dependent on skillful collaboration Language is complex and when abstract or nuanced concepts get lost in translation the consequences may be catastrophic As Margaret Atwood famously noted War is what happens when language fails Conference interpreters of all people are aware of that and work diligently behind the scenes to make sure it never does
我哋 有時 會晤 記得	sometimes that we forget about
簽 售 了 他 在 紐約 的 公寓	to sell his New York apartment
我哋 嘅 實地 探索 團隊 會 幫手 做 教育 外展 以及 遺跡 保護 個 團隊 都 係 屬於 由 Larry Coben 博士 帶領 嘅 可持續 保護 行動計劃 你哋 可能 唔知 啦 世界上 嘅 一啲 最 貧窮 嘅 社區 其實 喺 一啲 最 出名 嘅 考古 遺跡 旁邊 SPI 嘅 工作 就係 幫助 呢啲 社區 特別 係 當中 嘅 女性 教 佢哋 新嘅 生活方式 同 訓練 佢哋 做生意 等 佢哋 可以 整 手工藝 賣 畀 遊客 咁 樣 令到 當地 女性 學識 珍惜 文化遺產 同埋 對 遺產 負起 主人翁 嘅 責任 我 有機會 同 當地 24 名 女性 共 度 一段 時間 就喺 利馬 以外 嘅 著名 考古 遺跡 Pachacamac 呢啲 女性 出乎意料 嘅 對 我 有 啟 發 性 SPI 會 幫 我哋 改造 一啲 喺 遺跡 隔籬 嘅 社區 而 呢啲 遺跡 你 都 會 有份 發現 嘅	Our on the ground partner who will be helping us with education outreach as well as site preservation components is the Sustainable Preservation Initiative led by Dr Larry Coben Some of you may not be aware that some of the world s poorest communities coexist with some of the world s most well known archaeological sites What SPI does is it helps to empower these communities in particular women with new economic approaches and business training So it helps to teach them to create beautiful handicrafts which are then sold on to tourists This empowers the women to treasure their cultural heritage and take ownership of it I had the opportunity to spend some time with 24 of these women at a well known archaeological site called Pachacamac just outside Lima These women were unbelievably inspiring and what s great is that SPI will help us transform communities near some of the sites that you help to discover
雖然 Keith 嘅 表演 開始 前 唔順 利 但 佢 接受 咗 仲 將 佢 搞好 等 我哋 諗 一 諗 Keith 最初 嘅 反應 佢 唔想 演奏 將心比己 如果 任何 一個 喺 類似 嘅 情況 我哋 都 會 有 一樣 嘅 感受 我哋 都 一樣 唔想 演奏 我哋 都 唔 希望 人哋 叫 我哋 用 差 嘅 工具 做好 一 件 事 我哋 都 想 避免 不必要 嘅 障礙 但 我哋 都 知道 Keith 最初 嘅 反應 係 錯 嘅 好彩 佢 改變 諗法 我 認 為 我哋 嘅 判斷 都 係 錯 嘅 我 認 為 我哋 應該 反而 感激 因為 解決 麻煩 而 獲得 意想不到 嘅 好處 所以 等 我 由 認知 心理學 複雜性 科學 社會 心理學 以及 搖滾樂 裏面 講 一啲 例子	Keith Jarrett had been handed a mess He had embraced that mess and it soared But let s think for a moment about Jarrett s initial instinct He didn t want to play Of course I think any of us in any remotely similar situation would feel the same way we d have the same instinct We don t want to be asked to do good work with bad tools We don t want to have to overcome unnecessary hurdles But Jarrett s instinct was wrong and thank goodness he changed his mind And I think our instinct is also wrong I think we need to gain a bit more appreciation for the unexpected advantages of having to cope with a little mess So let me give you some examples from cognitive psychology from complexity science from social psychology and of course rock n roll
我 心 裏面 有啲 矛盾 因為 一方面 我 為 到 我 自己 發現 嘅嘢 覺得 興奮 但 另一方面 我 嗰時 啱啱 大學 畢業 攞咗 政治學 學位 以前 成日 夢想 去 華盛頓 做 政府 工 笑聲 為 咩 我 會 提起 呢件事 呢	I was a little conflicted though because I was so excited about what I d found but I was just about to graduate from college with a degree in political science and I d always had this dream of going to Washington D C and sitting at a desk and working in government Laughter Why did this have to get in the way of all that
對唔住 呀 我 唔係 有 惡意 㗎	Sorry I didn t mean it
有型 嘅 講法 幼 態 延續	Really cool term neoteny
於是 幾個 巴勒斯坦 人 話	And so Palestinians guys say
畀返 我 呀	Give it back
由 二戰 之後 就 一直 減少	in decline since World War II
呢部 無人機 屬於 莊稼 監控 部隊 睇嚟 呢個 農場 係 冇咩 規劃 但 實際 佢 係 經過 精心 設計 將 農作物 同 牲畜 與及 野生 棲息地 聯結 喺 一齊 傳統 農耕 方法 要 清理 一 大 塊 土地 之後 淨係 喺 上面 種 一種 農作物 咁 就 消除 咗啲 野生動物 同時 仲 排放 出 大量 溫室氣體 而 新 方法 就係 糾正 呢種 破壞	This drone is part of a fleet that monitors the crops below The farm may look haphazard but is a delicately engineered use of the land that intertwines crops and livestock with wild habitats Conventional farming methods cleared large swathes of land and planted them with a single crop eradicating wildlife and emitting huge amounts of greenhouse gases in the process This approach aims to correct that damage
我哋 公司 會 用 認可 原材料 多 一倍	we put through our business
咁 我 點樣 可以 理解 聲音 我 其實 係 通過 觀察 人哋 對 聲音 嘅 反應 你哋 就 好似 我 嘅 揚聲器 一樣 擴大 聲音 我 就學 到 同 呼應 你哋 嘅 反應 同時 我 知道 我 發出 咗 聲音 同埋 我 睇到 你哋 點樣 對 我 嘅 聲音 有反應 所以 我 就學 到 好多 嘢 譬如話 唔好 大力 關門 你 食 薯條 嗰陣 唔好 俾 個袋 製造 太 多 噪音	So how is it that I understand sound Well I watch how people behave and respond to sound You people are like my loudspeakers and amplify sound I learn and mirror that behavior At the same time I ve learned that I create sound and I ve seen how people respond to me Thus I ve learned for example Don t slam the door Don t make too much noise when you re eating from the potato chip bag
好似 三葉草 同 苜蓿 咁	We stopped planting cover crops
跟住 我 話 放心 啦 老婆 我 會 喺 臺上 表現 得 好好 㗎啦 信 我 會 好好 㗎啦 不過 我 宜家 的確 好 火 現場 爆笑 對上 一次 我 望 自己 我 都 係	So I said No I m gonna be good Honey I m gonna be good I am But I am angry Laughter And the last time I looked I m
依家 連 經濟學家 都 承認 只有 順利 畢 到 業 嘅 大學生 先 還 得 哂 而 純粹 係 因為 中學 畢業生 嘅 薪水 幾廿年 嚟 大幅 縮水 咁多年 嚟 有 高中 學歷 嘅人 付出 同 收入 唔成 正比 若果 佢哋 可以 賺 返 佢哋 應得 嘅 水平 咁 讀大學 對 好多 人嚟 講 肯定係 蝕 大 本 大學 畢業生 薪水 嘅 溢價 我 睇 都 係 靠 高中 畢業生 倒貼 而 嚟	Now even economists admit going to college pays off for only those who complete it But that s only because high school wages have been cut to the bone for decades now For decades workers with a high school degree have been denied a fair share of what they have produced And had they received as they should have then going to college would have been a bad investment for many College premium I think it s a high school discount
咁 樣 FBI 掌握 嘅 信息 就 毫無價值 了	the information that the FBI has has no value
而 呢個 係 非常重要 嘅 一個 觀點	and that s a very important notion
唔好心急 等陣 我 幫 你 搞掂 佢	Calm down No wait I m going to find you a solution
變成 咗 蓋澆飯	when the little goats we played with in the summer
打 個 比喻 我哋 就 好似 原始 人 我哋 啱啱 搵到 一嚿 木炭 然後 開始 喺 洞穴 裏邊 畫 第一 幅 線條 圖畫 宜家 等 我 話畀 你 聽 我 每日 做嘢 嘅 情景 接住 落嚟 嘅時 間 我 邀請 你哋 一齊 感受 一下 明日 嘅 科技	Put it this way temporally adjusted we re like cave people in computer terms We ve barely discovered charcoal and started drawing the first stick figures in our cave Now this is the perspective I apply to my work every single day And now for the next few minutes I invite all of you to apply the same perspective to the journey ahead of us
都 以為 我 死咗	Everyone who knew me before 9 11
可以 畀 我哋 嚟 到 夢想 來源 嘅 地方	Its most important purpose is to get us in touch
未來 將 承諾	The future holds the promise
去 指出 呢一點	indicating that
我 想話 俾 你 知 我 嘅 童年	I have to tell you about my childhood
根 住 我哋 還 會 做 兩 件 非常重要 嘅事	And then we do two other very important things
玩 有 巨大 嘅 好處	It is a huge benefit
記得 我 之前 話過 我 希望 我 嘅 研究 同 發現 會 改變 我哋 實踐 林學 嘅 方式 我 諗 喺 30 年 後 喺 加拿大 西部 做 檢測	So remember I said earlier that I hoped that my research my discoveries would change the way we practice forestry Well I want to take a check on that 30 years later here in western Canada
你 睇到 地獄	oh they can be hell
最近 我哋 喺 美國 醫學 研究 協會 嘅 雜誌 發表 文章 講述 呢啲 計劃 同 婆婆 嘅 工作 仲有	And recently we published this work that is done by these grandmothers in the Journal of the American Medical Association And
又 畀人 養 響 窄 窄 嘅 圍 入面	when its feed has nothing to do with its natural diet
好在 解決問題 嘅 辦法 有好多 我 會 講 其中 幾 種 辦法 當然 好 歡迎 你哋 出謀獻策 第一 我哋 必須 從 數碼 媒體 嘅 知識 著 手 我哋 要 建立 一個 從 女性 角度 出發 嘅 視野 兒童 學校 監護人 父母 都 係 我哋 嘅 對象 第二 我哋 不如 講下 科技 行業 嘅人 因為 關乎 女性 嘅 尊嚴 同 尊重 所以 職場 性別歧視 必須 停止	There are a lot of solutions thank goodness I m going to offer just a few and of course I challenge you to create and contribute your own Number one we have to start with digital media literacy and clearly it must have a gendered lens Kids schools caregivers parents it s essential Two shall we talk about our friends in tech Said with dignity and respect the sexism in your workplaces must end
5 堂 閱讀 等等等 等	and reading five times a day and all this stuff
而家 想象 一下 你 工作 嘅 地方	Now imagine your workplace
面對 世界上 嘅 貧困 同 飢餓 確保 每個人 都 有 合法 身份 似乎 唔係 太 緊要 但 事實上 好重要 喺 我 職業 生涯 嘅 早期 我 同一 位 社工 喺 孟買 嘅 貧民窟 工作 我哋 當時 跟進 緊 一個 小妹妹 嘅 個案 佢 喺 嬰兒 時期 感染 咗 小兒麻痹症 導致 腰部 以下 癱瘓 我哋 去到 佢 屋企 嘅時候 發現 佢 訓 喺 地下 佢 雙 只 腳 有 嚴重 嘅 傷疤 同感 染 佢 營養不良 佢 從來 冇 返 過 學 佢 人生 大部分 嘅時 間 都 困 喺 又 細 又 暗 嘅 房間 入面 我哋 走 嘅時候 我 問 個 社工 下 麵 嘅 步驟 係咩 佢 話 首先 我哋 要 幫 佢 攞到 出世紙 我 有啲 嚇親 我 話 嚇 你 唔覺 得 我哋 應該 幫 佢 攞到 社會 援助 幫 佢 搵 安全 嘅 住處 同埋 搵學校 先 咩 佢 答 係呀 所以 我哋 咪 要 幫 佢 攞到 出世紙 張	In the face of world poverty and hunger making sure everyone in the world has a legal identity doesn t really seem important but in reality it is See early in my career I was working with a social worker in a slum community in Mumbai and we were following up on a case with this little girl who had contracted polio as a baby and was paralyzed from the waist down When we arrived at the home we found her on the floor Her legs were badly scarred and infected she was malnourished she had never gone to school and she had spent most of her life confined to this small dark room When we left I asked the social worker what the case plan was and she said Well first we have to get her a birth certificate I was a little taken aback I said Well don t you think we need to get her some social assistance and a safe place to live and into a school She goes Exactly which is why we need to get her a birth certificate
玩 嘅 反義詞	The opposite of play
通過 一啲 基本 嘅 改變	Through some basic change
船長 報告 了 海岸警衛隊	who contacted the Coast Guard
呢個 亦 係 我 點解會 開始 寫 陰道 的 獨白 的 原因	This led to me writing The Vagina Monologues
我哋 唔知 污染 原來 唔止 令 能見度 差 咗 咁 簡單	We didn t know that pollution did more than cause bad visibility
咁 樣 可能 會 救 佢哋 一 命	It might just save their lives
而 唔需要 背 經 批准 後 啲 稿	without reading an approved script
位置 就係 嗰 條 又 長 又 窄 嘅 馬路 邊 草地	It was on a strip of land that we call a parkway
但係 可能 對 我 嚟講 未來 最 核心 嘅 構想 係 用 你 自己 嘅 幹細胞 你 嘅 基因 以及 你 嘅 環境 用 佢哋 嚟 印出 屬於 你 嘅 藥物	But perhaps for me the core bit going into the future is this idea of taking your own stem cells with your genes and your environment and you print your own personal medicine
我 三十 歲時 離開 美國 廣播 公司 新聞 部 我 鍾意 嘅 崗位 去咗 讀 商學院 一個 我 冇乜 認識 嘅 方向 喺 馬利 蘭州 同 我 一齊 成長 嘅 女性 無 一個 大學 畢業 更 遑論 係 商學院 畢業 佢哋 為咗 子女 屋租 張羅 而 喺 出邊 賺錢 從小 我 就睇 到 一份 可以 帶嚟 富足 收入 嘅 工 對 經濟 上 過得 非常之 艱難 嘅 家庭 嚟講 可以 帶嚟 莫大 轉變	I had left ABC news and a career I loved at the age of 30 for business school a path I knew almost nothing about None of the women I had grown up with in Maryland had graduated from college let alone considered business school But they had hustled to feed their kids and pay their rent And I saw from a young age that having a decent job and earning a good living made the biggest difference for families who were struggling
姐 係 佢哋 想 知道 你 呢 呢度 做咩	I mean they want to know what you re up to
去 咗 一個 我 自 以為 我 熟識 嘅 地方	what I thought I knew
如果 你 有多 出嚟 嘅 手指公	If you have a free thumb wave it around
九巴 件衫 先 啦	Put on your coat
呢啲 鈴鈴 就 好似 掛 喺 我哋 頸上 面	They are attached to our own necks
但 佢地 係要 咁做	Yet they do that
公司 裏面 都 有 咁 樣 嘅 講 過	100 percent s going to be hard
我 收集 人哋 嘅 秘密	and I collect secrets
因為 圓柱 所 陳述 嘅	hurrah for archeology
佢 話 成 件 事 同 我哋 冇 基因 聯繫 冇關係 關 個 仔 喺 青春期 多啲 到 嗰個 年齡 就係 咁 㗎啦 而且 會 過去 嘅	He said This outburst had nothing to do with the lack of a genetic link It was about puberty being difficult It s what they do at that age It will pass
點解 我 可以 睇到	why I could recognize
講者 攝影機 有 魚 眼鏡 頭 攝影機 嘅 視角 比 人 更加 廣 所以 如果 你 諗下 攝影機 睇到 嘅 光 係會 從 四方八面 射出 嚟嘅 話 就 會 嚟 到 一個 重點 我 可以 喺 一個 特定 空間 裏面 得到 幾多 光 點 答案 係 我 喺 全息 眼鏡 得到 嘅 光 點 同 攝影機 嘅 一樣 咁 攝影機 可以 睇到 更加 廣 嘅 角度 係咪	AK The camera has a fish eye lens on it It s seeing a much wider view than the human eye is So if you think about the points of light that show up radially from the vision of the camera which is the thing that matters how many points of light can I get in a given volume That s the same as I get on this HoloLens as I will on that one Now this camera sees a much wider view of the world right
見識 一下 真正 的 巴勒斯坦 人 同 真正 的 以色列人	and see who are the real Palestinians and who are the real Israelis
日本人	Japanese
就係 嗰 一刻	just at the moment
好啦 最近 我 開始 左 另外 一項 公共 藝術 項目	All right recently I started a public art project
跟 著 你 會 問 你 點知 佢哋 開心 嘎	And you can say Well how do you know they re happy
問題 係 歇 斯 底 裏 理論 或者 心理 病理 論 係 永遠 無辦法 證實 個 理論 本身 係 無 證據 以 肌 痛 性 腦 脊髓炎 為例 你 會 發現 心理學 嘅 解釋 窒礙 生物學 嘅 研究 喺 全球 肌 痛 性 腦 脊髓炎 係 其中 一個 研究 資助 最少 嘅 病 喺 美國 每年 喺 每個 愛滋病人 身上 用咗 大概 2 500 美金 多 發 性 硬化 症 病人 就 250 美金 而 肌 痛 性 腦 脊髓炎 病人 就 只用 5 美金 呢件事 唔係 突然間 嚟 我 唔只 係唔 好彩 無視 我 呢個 病 係 一個 決定 係由 應該 要 保護 我哋 嘅 機構 做嘅 一個 決定	The problem with the theory of hysteria or psychogenic illness is that it can never be proven It is by definition the absence of evidence and in the case of ME psychological explanations have held back biological research All around the world ME is one of the least funded diseases In the US we spend each year roughly 2 500 dollars per AIDS patient 250 dollars per MS patient and just 5 dollars per year per ME patient This was not just lightning I was not just unlucky The ignorance surrounding my disease has been a choice a choice made by the institutions that were supposed to protect us
您 嘅 血壓 可能 會 降低 些少	Your blood pressure might drop a little bit
他的 每 條 肋骨 都 斷 了	broke every rib that he had
已經 成立 一個 國際聯盟 進行 計算 工作	an international coalition
呢個 亦 正 係 我哋 計劃 之中 嘅 工作 順利 嘅話 成個 規劃 方案 將 喺 兩 年內 完成 然之後 實施 方案 我哋 嘅 目標 係 建成 一個 千年 難得一見 嘅 城市 就 好似 伊斯坦堡 羅馬 倫敦 巴黎 大馬士革 以及 開羅 一樣 我哋 城市 雖然 淨係 得 60 年 歷史 但 我哋 希 朢 佢 能夠 和平 地 永遠 存在	So that s what we are planning to do Within two years we should hopefully be done with this plan and taking it to implementation Our objective is to be a millennium city just like many millennium cities around Istanbul Rome London Paris Damascus Cairo We are only 60 years old but we want to live forever as a city to live in peace
對地 球 嘅 施暴	The raping of the Earth
笑聲	Laughter
所以 我哋 嘅 政府 組織 咗	and it was political dynamite frankly
係 依家 勇敢 企起身 嘅	It was the Congolese women
好	Okay
